,course_title,subject,num_subscribers
0,Learn HTML5 Programming From Scratch,Web Development,268923
1,Coding for Entrepreneurs Basic,Web Development,161029
2,The Web Developer Bootcamp,Web Development,121584
3,Build Your First Website in 1 Week with HTML5 and CSS3,Web Development,120291
4,The Complete Web Developer Course 2.0,Web Development,114512
5,Free Beginner Electric Guitar Lessons,Musical Instruments,101154
6,Web Design for Web Developers: Build Beautiful Websites!,Web Development,98867
7,Learn Javascript & JQuery From Scratch,Web Development,84897
8,Practical PHP: Master the Basics and Code Dynamic Websites,Web Development,83737
9,JavaScript: Understanding the Weird Parts,Web Development,79612
